fund_code,fund_name,isin,type_code,annual_management_fee_rate
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYMKFT00331,108,3.050
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,TRYAKPO01532,108,0.750
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,TRYMKFT00141,108,1.000
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,TRYISPO01181,108,0.800
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYOSMP00060,101,1.400
OPD,OSMANLI PORTFÖY ANKA SERBEST FON,TRYOSMP00078,108,1.400
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,TRYOSMP00219,101,2.750
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),TRYOSMP00094,104,2.600
OPI,OSMANLI PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYOSMP00086,104,2.500
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYOSMP00110,101,1.400
ORC,QINVEST PORTFÖY ALFA SERBEST FON,TRYQPYS00128,108,2.100
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TRYOSMP00029,100,1.000
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,TRYONCM00010,100,1.200
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,TRYOYKP00195,102,1.000
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,TRYOYKP00013,108,2.008
OTM,AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON,TRYAZIM01513,101,2.350
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,TRYOSMP00128,108,0.800
OVD,QNB PORTFÖY EMTİA FON SEPETİ FONU,TRYFIPO00388,102,2.500
P1A,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,TRYA1PS00018,108,1.000
PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,TRYA1PS00075,107,0.290
PAF,PARDUS PORTFOY YONETIMI AS ALTIN FONU - TRYA1PY00206,TRYA1PY00206,105,1.000
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,TRYAKPO00708,108,0.850
