price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-28,DLD,7.328388,626,80332130.25
2026-04-28,DLG,1.174051,44,4456497.67
2026-04-28,DLN,1.906096,12,30538504.21
2026-04-28,DLY,5.382790,313634,73190293994.26
2026-04-28,DLZ,1.304379,13,160989.02
2026-04-28,DMG,7.437645,16569,3682984488.87
2026-04-28,DMR,54.127979,1,16047275144.03
2026-04-28,DMV,65.587252,2,315236339.95
2026-04-28,DMZ,59.735518,5,595903363.59
2026-04-28,DNA,9.377528,5,1866347953.04
2026-04-28,DNF,1.189564,100,23770150.33
2026-04-28,DNH,1.173443,76,19138883.22
2026-04-28,DNK,1.704478,212,16072430.59
2026-04-28,DNL,51.851322,1,206612273.12
2026-04-28,DNM,48.540052,1209,1741417116.83
2026-04-28,DNP,1.270102,265,1421281011.74
2026-04-28,DNU,44.875375,16,36897206.67
2026-04-28,DOC,44.957867,178,4603636666.83
2026-04-28,DOD,64.044250,24,15461327350.11
2026-04-28,DOH,2.070460,5482,959301069.01
2026-04-28,DOL,48.982594,383,3480377623.60
2026-04-28,DOR,66.432109,1,478492211.47
2026-04-28,DOS,65.374039,2,3081165128.66
2026-04-28,DOV,57.132484,17782,71312882189.35
2026-04-28,DP1,17.809190,7,5068082993.78
2026-04-28,DP2,62.618786,11,337997296.76
2026-04-28,DP3,65.060398,4,265043177.70
2026-04-28,DP4,68.123998,3,510895309.51
2026-04-28,DP5,76.807248,1,1663404897.96
2026-04-28,DP6,44.957445,215,1814990991.08
2026-04-28,DP7,56.819745,3,511478961.48
2026-04-28,DP8,45.331889,50,376847576.81
2026-04-28,DP9,45.021430,155,5690215577.70
2026-04-28,DPB,22.792755,3849,20772877050.87
2026-04-28,DPC,92.396403,1,318247862.10
2026-04-28,DPE,21.087779,1,1380335964.01
2026-04-28,DPG,93.580985,2,536611426.29
2026-04-28,DPI,7.945147,111,263962294.65
2026-04-28,DPK,7.711002,1312,828820561.92
2026-04-28,DPL,95.943579,1,2480293488.24
2026-04-28,DPN,56.394556,1,2212922.38
2026-04-28,DPP,156.590655,2,211386735.78
2026-04-28,DPT,17.405820,5504,342928872.29
2026-04-28,DPZ,76.593262,1,115473686.24
2026-04-28,DRA,1.200982,16,48683954.37
2026-04-28,DRD,53.082786,153,1663958865.68
2026-04-28,DRH,1.071071,69,148502729.69
2026-04-28,DRS,69.966647,3,232447041.92
2026-04-28,DRT,1.109360,353,19793105.77
2026-04-28,DSC,62.351324,1,926547406.97
2026-04-28,DSD,67.397664,1669,5765653689.22
2026-04-28,DSH,2.018971,101,24648615.62
2026-04-28,DSP,13.605256,1092,140264910.19
2026-04-28,DSV,45.864627,48,1214268340.16
2026-04-28,DTH,1.251357,123,174074255.92
2026-04-28,DTL,3.909168,3752,164832143.30
2026-04-28,DTM,1.369638,3158,67758042.89
2026-04-28,DTO,45.000532,159,112121255.01
2026-04-28,DTP,1.836139,4,1663487014.45
